id_funcionario;ano_mes;ativo_no_mes;uf;unidade;area;cargo;regime;turno;escala;dias_uteis_mes;base_horas_mes
FUNC0001;2025-07;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;20;161
FUNC0001;2025-08;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;19;156
FUNC0002;2025-07;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;22;154
FUNC0002;2025-08;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;19;134
FUNC0003;2025-07;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;21;168
FUNC0003;2025-08;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;21;169
FUNC0004;2025-07;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;21;149
FUNC0004;2025-08;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;22;158
FUNC0005;2025-07;1;CE;Filial Oeste;Atendimento;Analista;CLT;Diurno;5x2;19;152
FUNC0005;2025-08;1;CE;Filial Oeste;Atendimento;Analista;CLT;Diurno;5x2;21;161
FUNC0006;2025-07;1;PE;Filial Norte;Backoffice;Especialista;CLT;Noturno;6x1;22;161
FUNC0006;2025-08;1;PE;Filial Norte;Backoffice;Especialista;CLT;Noturno;6x1;19;136
FUNC0007;2025-07;1;PB;Filial Norte;Operações;Especialista;CLT;Diurno;6x1;19;133
FUNC0007;2025-08;1;PB;Filial Norte;Operações;Especialista;CLT;Diurno;6x1;20;144
FUNC0008;2025-07;1;CE;Matriz;Operações;Coordenador;CLT;Noturno;5x2;23;185
FUNC0008;2025-08;1;CE;Matriz;Operações;Coordenador;CLT;Noturno;5x2;21;166
FUNC0009;2025-07;1;BA;Matriz;Backoffice;Analista;CLT;Noturno;6x1;23;169
FUNC0009;2025-08;1;BA;Matriz;Backoffice;Analista;CLT;Noturno;6x1;23;168
FUNC0010;2025-07;1;PB;Filial Leste;Backoffice;Especialista;CLT;Noturno;5x2;19;153
FUNC0010;2025-08;1;PB;Filial Leste;Backoffice;Especialista;CLT;Noturno;5x2;21;167
FUNC0011;2025-07;1;RN;Filial Norte;Backoffice;Analista;CLT;Diurno;5x2;22;176
FUNC0011;2025-08;1;RN;Filial Norte;Backoffice;Analista;CLT;Diurno;5x2;19;149
FUNC0012;2025-07;1;PE;Matriz;Operações;Técnico;CLT;Diurno;12x36;20;181
FUNC0012;2025-08;1;PE;Matriz;Operações;Técnico;CLT;Diurno;12x36;20;179
FUNC0013;2025-07;0;RN;Filial Sul;Operações;Assistente;CLT;Noturno;5x2;20;159
FUNC0013;2025-08;0;RN;Filial Sul;Operações;Assistente;CLT;Noturno;5x2;22;172
FUNC0014;2025-07;1;PB;Filial Norte;Engenharia;Técnico;CLT;Diurno;5x2;22;176
FUNC0014;2025-08;1;PB;Filial Norte;Engenharia;Técnico;CLT;Diurno;5x2;23;188
FUNC0015;2025-07;1;CE;Filial Norte;Backoffice;Coordenador;CLT;Diurno;5x2;23;182
FUNC0015;2025-08;1;CE;Filial Norte;Backoffice;Coordenador;CLT;Diurno;5x2;20;160
FUNC0016;2025-07;1;RN;Matriz;Engenharia;Técnico;CLT;Diurno;5x2;21;166
FUNC0016;2025-08;1;RN;Matriz;Engenharia;Técnico;CLT;Diurno;5x2;22;173
FUNC0017;2025-07;1;PE;Matriz;Atendimento;Analista;CLT;Noturno;5x2;21;169
FUNC0017;2025-08;1;PE;Matriz;Atendimento;Analista;CLT;Noturno;5x2;19;152
FUNC0018;2025-07;1;PE;Filial Leste;Engenharia;Especialista;CLT;Noturno;6x1;23;166
FUNC0018;2025-08;1;PE;Filial Leste;Engenharia;Especialista;CLT;Noturno;6x1;22;153
FUNC0019;2025-07;1;RN;Filial Norte;Backoffice;Assistente;PJ;Diurno;5x2;21;167
FUNC0019;2025-08;1;RN;Filial Norte;Backoffice;Assistente;PJ;Diurno;5x2;22;176
FUNC0020;2025-07;1;PB;Filial Sul;Backoffice;Coordenador;CLT;Comercial;6x1;19;138
FUNC0020;2025-08;1;PB;Filial Sul;Backoffice;Coordenador;CLT;Comercial;6x1;19;134
FUNC0021;2025-07;1;CE;Filial Norte;Backoffice;Coordenador;CLT;Comercial;5x2;19;151
FUNC0021;2025-08;1;CE;Filial Norte;Backoffice;Coordenador;CLT;Comercial;5x2;22;173
FUNC0022;2025-07;1;PI;Filial Norte;Backoffice;Assistente;CLT;Diurno;5x2;23;181
FUNC0022;2025-08;1;PI;Filial Norte;Backoffice;Assistente;CLT;Diurno;5x2;22;179
FUNC0023;2025-07;1;PB;Filial Sul;Operações;Especialista;CLT;Diurno;5x2;23;184
FUNC0023;2025-08;1;PB;Filial Sul;Operações;Especialista;CLT;Diurno;5x2;19;154
FUNC0024;2025-07;1;PB;Filial Norte;Comercial;Coordenador;CLT;Noturno;5x2;19;152
FUNC0024;2025-08;1;PB;Filial Norte;Comercial;Coordenador;CLT;Noturno;5x2;22;177
FUNC0025;2025-07;1;PE;Filial Leste;Operações;Especialista;CLT;Diurno;5x2;20;159
FUNC0025;2025-08;1;PE;Filial Leste;Operações;Especialista;CLT;Diurno;5x2;19;151
FUNC0026;2025-07;1;RN;Filial Sul;Backoffice;Coordenador;CLT;Noturno;5x2;22;176
