cid;grupo_cid;descricao_grupo
A00;A00-B99;Doenças infecciosas e parasitárias
A00.0;A00-B99;Doenças infecciosas e parasitárias
A00.1;A00-B99;Doenças infecciosas e parasitárias
A00.2;A00-B99;Doenças infecciosas e parasitárias
A00.3;A00-B99;Doenças infecciosas e parasitárias
A00.4;A00-B99;Doenças infecciosas e parasitárias
A00.5;A00-B99;Doenças infecciosas e parasitárias
A00.6;A00-B99;Doenças infecciosas e parasitárias
A00.7;A00-B99;Doenças infecciosas e parasitárias
A00.8;A00-B99;Doenças infecciosas e parasitárias
A00.9;A00-B99;Doenças infecciosas e parasitárias
A01;A00-B99;Doenças infecciosas e parasitárias
A01.0;A00-B99;Doenças infecciosas e parasitárias
A01.1;A00-B99;Doenças infecciosas e parasitárias
A01.2;A00-B99;Doenças infecciosas e parasitárias
A01.3;A00-B99;Doenças infecciosas e parasitárias
A01.4;A00-B99;Doenças infecciosas e parasitárias
A01.5;A00-B99;Doenças infecciosas e parasitárias
A01.6;A00-B99;Doenças infecciosas e parasitárias
A01.7;A00-B99;Doenças infecciosas e parasitárias
A01.8;A00-B99;Doenças infecciosas e parasitárias
A01.9;A00-B99;Doenças infecciosas e parasitárias
A02;A00-B99;Doenças infecciosas e parasitárias
A02.0;A00-B99;Doenças infecciosas e parasitárias
A02.1;A00-B99;Doenças infecciosas e parasitárias
A02.2;A00-B99;Doenças infecciosas e parasitárias
A02.3;A00-B99;Doenças infecciosas e parasitárias
A02.4;A00-B99;Doenças infecciosas e parasitárias
A02.5;A00-B99;Doenças infecciosas e parasitárias
A02.6;A00-B99;Doenças infecciosas e parasitárias
A02.7;A00-B99;Doenças infecciosas e parasitárias
A02.8;A00-B99;Doenças infecciosas e parasitárias
A02.9;A00-B99;Doenças infecciosas e parasitárias
A03;A00-B99;Doenças infecciosas e parasitárias
A03.0;A00-B99;Doenças infecciosas e parasitárias
A03.1;A00-B99;Doenças infecciosas e parasitárias
A03.2;A00-B99;Doenças infecciosas e parasitárias
A03.3;A00-B99;Doenças infecciosas e parasitárias
A03.4;A00-B99;Doenças infecciosas e parasitárias
A03.5;A00-B99;Doenças infecciosas e parasitárias
A03.6;A00-B99;Doenças infecciosas e parasitárias
A03.7;A00-B99;Doenças infecciosas e parasitárias
A03.8;A00-B99;Doenças infecciosas e parasitárias
A03.9;A00-B99;Doenças infecciosas e parasitárias
A04;A00-B99;Doenças infecciosas e parasitárias
A04.0;A00-B99;Doenças infecciosas e parasitárias
A04.1;A00-B99;Doenças infecciosas e parasitárias
A04.2;A00-B99;Doenças infecciosas e parasitárias
A04.3;A00-B99;Doenças infecciosas e parasitárias
A04.4;A00-B99;Doenças infecciosas e parasitárias
A04.5;A00-B99;Doenças infecciosas e parasitárias
A04.6;A00-B99;Doenças infecciosas e parasitárias
A04.7;A00-B99;Doenças infecciosas e parasitárias
A04.8;A00-B99;Doenças infecciosas e parasitárias
A04.9;A00-B99;Doenças infecciosas e parasitárias
A05;A00-B99;Doenças infecciosas e parasitárias
A05.0;A00-B99;Doenças infecciosas e parasitárias
A05.1;A00-B99;Doenças infecciosas e parasitárias
A05.2;A00-B99;Doenças infecciosas e parasitárias
A05.3;A00-B99;Doenças infecciosas e parasitárias
A05.4;A00-B99;Doenças infecciosas e parasitárias
A05.5;A00-B99;Doenças infecciosas e parasitárias
A05.6;A00-B99;Doenças infecciosas e parasitárias
A05.7;A00-B99;Doenças infecciosas e parasitárias
A05.8;A00-B99;Doenças infecciosas e parasitárias
A05.9;A00-B99;Doenças infecciosas e parasitárias
A06;A00-B99;Doenças infecciosas e parasitárias
A06.0;A00-B99;Doenças infecciosas e parasitárias
A06.1;A00-B99;Doenças infecciosas e parasitárias
A06.2;A00-B99;Doenças infecciosas e parasitárias
A06.3;A00-B99;Doenças infecciosas e parasitárias
A06.4;A00-B99;Doenças infecciosas e parasitárias
A06.5;A00-B99;Doenças infecciosas e parasitárias
A06.6;A00-B99;Doenças infecciosas e parasitárias
A06.7;A00-B99;Doenças infecciosas e parasitárias
A06.8;A00-B99;Doenças infecciosas e parasitárias
A06.9;A00-B99;Doenças infecciosas e parasitárias
A07;A00-B99;Doenças infecciosas e parasitárias
A07.0;A00-B99;Doenças infecciosas e parasitárias
A07.1;A00-B99;Doenças infecciosas e parasitárias
A07.2;A00-B99;Doenças infecciosas e parasitárias
A07.3;A00-B99;Doenças infecciosas e parasitárias
A07.4;A00-B99;Doenças infecciosas e parasitárias
A07.5;A00-B99;Doenças infecciosas e parasitárias
A07.6;A00-B99;Doenças infecciosas e parasitárias
A07.7;A00-B99;Doenças infecciosas e parasitárias
A07.8;A00-B99;Doenças infecciosas e parasitárias
A07.9;A00-B99;Doenças infecciosas e parasitárias
A08;A00-B99;Doenças infecciosas e parasitárias
A08.0;A00-B99;Doenças infecciosas e parasitárias
A08.1;A00-B99;Doenças infecciosas e parasitárias
A08.2;A00-B99;Doenças infecciosas e parasitárias
A08.3;A00-B99;Doenças infecciosas e parasitárias
A08.4;A00-B99;Doenças infecciosas e parasitárias
A08.5;A00-B99;Doenças infecciosas e parasitárias
A08.6;A00-B99;Doenças infecciosas e parasitárias
A08.7;A00-B99;Doenças infecciosas e parasitárias
A08.8;A00-B99;Doenças infecciosas e parasitárias
A08.9;A00-B99;Doenças infecciosas e parasitárias
A09;A00-B99;Doenças infecciosas e parasitárias
A09.0;A00-B99;Doenças infecciosas e parasitárias
A09.1;A00-B99;Doenças infecciosas e parasitárias
A09.2;A00-B99;Doenças infecciosas e parasitárias
A09.3;A00-B99;Doenças infecciosas e parasitárias
A09.4;A00-B99;Doenças infecciosas e parasitárias
A09.5;A00-B99;Doenças infecciosas e parasitárias
A09.6;A00-B99;Doenças infecciosas e parasitárias
A09.7;A00-B99;Doenças infecciosas e parasitárias
A09.8;A00-B99;Doenças infecciosas e parasitárias
A09.9;A00-B99;Doenças infecciosas e parasitárias
A10;A00-B99;Doenças infecciosas e parasitárias
A10.0;A00-B99;Doenças infecciosas e parasitárias
A10.1;A00-B99;Doenças infecciosas e parasitárias
A10.2;A00-B99;Doenças infecciosas e parasitárias
A10.3;A00-B99;Doenças infecciosas e parasitárias
A10.4;A00-B99;Doenças infecciosas e parasitárias
A10.5;A00-B99;Doenças infecciosas e parasitárias
A10.6;A00-B99;Doenças infecciosas e parasitárias
A10.7;A00-B99;Doenças infecciosas e parasitárias
A10.8;A00-B99;Doenças infecciosas e parasitárias
A10.9;A00-B99;Doenças infecciosas e parasitárias
A11;A00-B99;Doenças infecciosas e parasitárias
A11.0;A00-B99;Doenças infecciosas e parasitárias
A11.1;A00-B99;Doenças infecciosas e parasitárias
A11.2;A00-B99;Doenças infecciosas e parasitárias
A11.3;A00-B99;Doenças infecciosas e parasitárias
A11.4;A00-B99;Doenças infecciosas e parasitárias
A11.5;A00-B99;Doenças infecciosas e parasitárias
A11.6;A00-B99;Doenças infecciosas e parasitárias
A11.7;A00-B99;Doenças infecciosas e parasitárias
A11.8;A00-B99;Doenças infecciosas e parasitárias
A11.9;A00-B99;Doenças infecciosas e parasitárias
A12;A00-B99;Doenças infecciosas e parasitárias
A12.0;A00-B99;Doenças infecciosas e parasitárias
A12.1;A00-B99;Doenças infecciosas e parasitárias
A12.2;A00-B99;Doenças infecciosas e parasitárias
A12.3;A00-B99;Doenças infecciosas e parasitárias
A12.4;A00-B99;Doenças infecciosas e parasitárias
A12.5;A00-B99;Doenças infecciosas e parasitárias
A12.6;A00-B99;Doenças infecciosas e parasitárias
A12.7;A00-B99;Doenças infecciosas e parasitárias
A12.8;A00-B99;Doenças infecciosas e parasitárias
A12.9;A00-B99;Doenças infecciosas e parasitárias
A13;A00-B99;Doenças infecciosas e parasitárias
A13.0;A00-B99;Doenças infecciosas e parasitárias
A13.1;A00-B99;Doenças infecciosas e parasitárias
A13.2;A00-B99;Doenças infecciosas e parasitárias
A13.3;A00-B99;Doenças infecciosas e parasitárias
A13.4;A00-B99;Doenças infecciosas e parasitárias
A13.5;A00-B99;Doenças infecciosas e parasitárias
A13.6;A00-B99;Doenças infecciosas e parasitárias
A13.7;A00-B99;Doenças infecciosas e parasitárias
A13.8;A00-B99;Doenças infecciosas e parasitárias
A13.9;A00-B99;Doenças infecciosas e parasitárias
A14;A00-B99;Doenças infecciosas e parasitárias
A14.0;A00-B99;Doenças infecciosas e parasitárias
A14.1;A00-B99;Doenças infecciosas e parasitárias
A14.2;A00-B99;Doenças infecciosas e parasitárias
A14.3;A00-B99;Doenças infecciosas e parasitárias
A14.4;A00-B99;Doenças infecciosas e parasitárias
A14.5;A00-B99;Doenças infecciosas e parasitárias
A14.6;A00-B99;Doenças infecciosas e parasitárias
A14.7;A00-B99;Doenças infecciosas e parasitárias
A14.8;A00-B99;Doenças infecciosas e parasitárias
A14.9;A00-B99;Doenças infecciosas e parasitárias
A15;A00-B99;Doenças infecciosas e parasitárias
A15.0;A00-B99;Doenças infecciosas e parasitárias
A15.1;A00-B99;Doenças infecciosas e parasitárias
A15.2;A00-B99;Doenças infecciosas e parasitárias
A15.3;A00-B99;Doenças infecciosas e parasitárias
A15.4;A00-B99;Doenças infecciosas e parasitárias
A15.5;A00-B99;Doenças infecciosas e parasitárias
A15.6;A00-B99;Doenças infecciosas e parasitárias
A15.7;A00-B99;Doenças infecciosas e parasitárias
A15.8;A00-B99;Doenças infecciosas e parasitárias
A15.9;A00-B99;Doenças infecciosas e parasitárias
A16;A00-B99;Doenças infecciosas e parasitárias
A16.0;A00-B99;Doenças infecciosas e parasitárias
A16.1;A00-B99;Doenças infecciosas e parasitárias
A16.2;A00-B99;Doenças infecciosas e parasitárias
A16.3;A00-B99;Doenças infecciosas e parasitárias
A16.4;A00-B99;Doenças infecciosas e parasitárias
A16.5;A00-B99;Doenças infecciosas e parasitárias
A16.6;A00-B99;Doenças infecciosas e parasitárias
A16.7;A00-B99;Doenças infecciosas e parasitárias
A16.8;A00-B99;Doenças infecciosas e parasitárias
A16.9;A00-B99;Doenças infecciosas e parasitárias
A17;A00-B99;Doenças infecciosas e parasitárias
A17.0;A00-B99;Doenças infecciosas e parasitárias
A17.1;A00-B99;Doenças infecciosas e parasitárias
A17.2;A00-B99;Doenças infecciosas e parasitárias
A17.3;A00-B99;Doenças infecciosas e parasitárias
A17.4;A00-B99;Doenças infecciosas e parasitárias
A17.5;A00-B99;Doenças infecciosas e parasitárias
A17.6;A00-B99;Doenças infecciosas e parasitárias
A17.7;A00-B99;Doenças infecciosas e parasitárias
A17.8;A00-B99;Doenças infecciosas e parasitárias
A17.9;A00-B99;Doenças infecciosas e parasitárias
A18;A00-B99;Doenças infecciosas e parasitárias
A18.0;A00-B99;Doenças infecciosas e parasitárias
A18.1;A00-B99;Doenças infecciosas e parasitárias
A18.2;A00-B99;Doenças infecciosas e parasitárias
A18.3;A00-B99;Doenças infecciosas e parasitárias
A18.4;A00-B99;Doenças infecciosas e parasitárias
A18.5;A00-B99;Doenças infecciosas e parasitárias
A18.6;A00-B99;Doenças infecciosas e parasitárias
A18.7;A00-B99;Doenças infecciosas e parasitárias
A18.8;A00-B99;Doenças infecciosas e parasitárias
A18.9;A00-B99;Doenças infecciosas e parasitárias
A19;A00-B99;Doenças infecciosas e parasitárias
A19.0;A00-B99;Doenças infecciosas e parasitárias
A19.1;A00-B99;Doenças infecciosas e parasitárias
A19.2;A00-B99;Doenças infecciosas e parasitárias
A19.3;A00-B99;Doenças infecciosas e parasitárias
A19.4;A00-B99;Doenças infecciosas e parasitárias
A19.5;A00-B99;Doenças infecciosas e parasitárias
A19.6;A00-B99;Doenças infecciosas e parasitárias
A19.7;A00-B99;Doenças infecciosas e parasitárias
A19.8;A00-B99;Doenças infecciosas e parasitárias
A19.9;A00-B99;Doenças infecciosas e parasitárias
A20;A00-B99;Doenças infecciosas e parasitárias
A20.0;A00-B99;Doenças infecciosas e parasitárias
A20.1;A00-B99;Doenças infecciosas e parasitárias
A20.2;A00-B99;Doenças infecciosas e parasitárias
A20.3;A00-B99;Doenças infecciosas e parasitárias
A20.4;A00-B99;Doenças infecciosas e parasitárias
A20.5;A00-B99;Doenças infecciosas e parasitárias
A20.6;A00-B99;Doenças infecciosas e parasitárias
A20.7;A00-B99;Doenças infecciosas e parasitárias
A20.8;A00-B99;Doenças infecciosas e parasitárias
A20.9;A00-B99;Doenças infecciosas e parasitárias
A21;A00-B99;Doenças infecciosas e parasitárias
A21.0;A00-B99;Doenças infecciosas e parasitárias
A21.1;A00-B99;Doenças infecciosas e parasitárias
A21.2;A00-B99;Doenças infecciosas e parasitárias
A21.3;A00-B99;Doenças infecciosas e parasitárias
A21.4;A00-B99;Doenças infecciosas e parasitárias
A21.5;A00-B99;Doenças infecciosas e parasitárias
A21.6;A00-B99;Doenças infecciosas e parasitárias
A21.7;A00-B99;Doenças infecciosas e parasitárias
A21.8;A00-B99;Doenças infecciosas e parasitárias
A21.9;A00-B99;Doenças infecciosas e parasitárias
A22;A00-B99;Doenças infecciosas e parasitárias
A22.0;A00-B99;Doenças infecciosas e parasitárias
A22.1;A00-B99;Doenças infecciosas e parasitárias
